Silling_buxiuzheng,,,,,,ANSYS,,,Wan_buxiuzheng,,,,,,,,,,,,Zhang_buxiuzheng,,,,
Points_0,Points_1,Points_2,Temperature,,,,,,Points_0,Points_1,Points_2,,Temperature,,Points_0,Points_1,Points_2,,Temperature,,Points_0,Points_1,Points_2,,Temperature
0,-24.5,0,0.0311948,0.5,0.0311948,0,7.53E-02,,0,-24.5,0,0.5,0.0313323,,0,-24.5,0,0.5,0.0721568,,0,-24.75,0,0.25,0.0313034
0,-24.0149,0,0.0313717,0.9851,0.0313717,0.5,7.56E-02,,0,-24.0149,0,0.9851,0.0315655,,0,-24.0149,0,0.9851,0.0728768,,0,-24.2599,0,0.7401,0.0315199
0,-23.5297,0,0.0320216,1.4703,0.0320216,1,7.64E-02,,0,-23.5297,0,1.4703,0.0322463,,0,-23.5297,0,1.4703,0.0744106,,0,-23.7698,0,1.2302,0.0317519
0,-23.0446,0,0.0334653,1.9554,0.0334653,1.5,7.78E-02,,0,-23.0446,0,1.9554,0.0335894,,0,-23.0446,0,1.9554,0.0770062,,0,-23.2797,0,1.7203,0.0328769
0,-22.5594,0,0.0351846,2.4406,0.0351846,2,7.97E-02,,0,-22.5594,0,2.4406,0.0353096,,0,-22.5594,0,2.4406,0.0800092,,0,-22.7896,0,2.2104,0.0344961
0,-22.0743,0,0.0372016,2.9257,0.0372016,2.5,8.22E-02,,0,-22.0743,0,2.9257,0.0373641,,0,-22.0743,0,2.9257,0.083452,,0,-22.2995,0,2.7005,0.0363867
0,-21.5891,0,0.0396741,3.4109,0.0396741,3,8.52E-02,,0,-21.5891,0,3.4109,0.0398385,,0,-21.5891,0,3.4109,0.0875886,,0,-21.8094,0,3.1906,0.0386876
0,-21.104,0,0.0425964,3.896,0.0425964,3.5,8.89E-02,,0,-21.104,0,3.896,0.0427563,,0,-21.104,0,3.896,0.0924573,,0,-21.3193,0,3.6807,0.0414423
0,-20.6188,0,0.0459535,4.3812,0.0459535,4,9.32E-02,,0,-20.6188,0,4.3812,0.0461282,,0,-20.6188,0,4.3812,0.0980541,,0,-20.8292,0,4.1708,0.0446519
0,-20.1337,0,0.0497891,4.8663,0.0497891,4.5,9.82E-02,,0,-20.1337,0,4.8663,0.0499811,,0,-20.1337,0,4.8663,0.104404,,0,-20.3391,0,4.6609,0.048339
0,-19.6485,0,0.0541403,5.3515,0.0541403,5,1.04E-01,,0,-19.6485,0,5.3515,0.0543479,,0,-19.6485,0,5.3515,0.111552,,0,-19.849,0,5.151,0.0525381
0,-19.1634,0,0.0590347,5.8366,0.0590347,5.5,1.10E-01,,0,-19.1634,0,5.8366,0.0592624,,0,-19.1634,0,5.8366,0.119535,,0,-19.3589,0,5.6411,0.0572831
0,-18.6782,0,0.064509,6.3218,0.064509,6,1.17E-01,,0,-18.6782,0,6.3218,0.0647617,,0,-18.6782,0,6.3218,0.128395,,0,-18.8688,0,6.1312,0.0626106
0,-18.1931,0,0.0706068,6.8069,0.0706068,6.5,1.25E-01,,0,-18.1931,0,6.8069,0.0708876,,0,-18.1931,0,6.8069,0.138179,,0,-18.3787,0,6.6213,0.0685624
0,-17.7079,0,0.0773733,7.2921,0.0773733,7,1.34E-01,,0,-17.7079,0,7.2921,0.0776861,,0,-17.7079,0,7.2921,0.148939,,0,-17.8886,0,7.1114,0.0751843
0,-17.2228,0,0.0848577,7.7772,0.0848577,7.5,1.43E-01,,0,-17.2228,0,7.7772,0.085207,,0,-17.2228,0,7.7772,0.16073,,0,-17.3985,0,7.6015,0.0825266
0,-16.7376,0,0.0931143,8.2624,0.0931143,8,1.54E-01,,0,-16.7376,0,8.2624,0.0935048,,0,-16.7376,0,8.2624,0.173611,,0,-16.9084,0,8.0916,0.0906439
0,-16.2525,0,0.102207,8.7475,0.102207,8.5,1.65E-01,,0,-16.2525,0,8.7475,0.102643,,0,-16.2525,0,8.7475,0.187655,,0,-16.4183,0,8.5817,0.0995959
0,-15.7673,0,0.11222,9.2327,0.11222,9,1.78E-01,,0,-15.7673,0,9.2327,0.112708,,0,-15.7673,0,9.2327,0.202958,,0,-15.9282,0,9.0718,0.109447
