Points_0,Points_1,Points_2,Temperature
0,-24.5,0,0.0721568
0,-24.0149,0,0.0728768
0,-23.5297,0,0.0744106
0,-23.0446,0,0.0770062
0,-22.5594,0,0.0800092
0,-22.0743,0,0.083452
0,-21.5891,0,0.0875886
0,-21.104,0,0.0924573
0,-20.6188,0,0.0980541
0,-20.1337,0,0.104404
0,-19.6485,0,0.111552
0,-19.1634,0,0.119535
0,-18.6782,0,0.128395
0,-18.1931,0,0.138179
0,-17.7079,0,0.148939
0,-17.2228,0,0.16073
0,-16.7376,0,0.173611
0,-16.2525,0,0.187655
0,-15.7673,0,0.202958
0,-15.2822,0,0.219565
0,-14.797,0,0.237555
0,-14.3119,0,0.257014
0,-13.8267,0,0.278029
0,-13.3416,0,0.300698
0,-12.8564,0,0.325119
0,-12.3713,0,0.3514
0,-11.8861,0,0.379652
0,-11.401,0,0.409992
0,-10.9158,0,0.442546
0,-10.4307,0,0.477442
0,-9.94554,0,0.514817
0,-9.4604,0,0.554814
0,-8.97525,0,0.59758
0,-8.4901,0,0.643273
0,-8.00495,0,0.692054
0,-7.5198,0,0.744093
0,-7.03465,0,0.799565
0,-6.5495,0,0.858654
0,-6.06436,0,0.921549
0,-5.57921,0,0.988447
0,-5.09406,0,1.05955
0,-4.60891,0,1.13508
0,-4.12376,0,1.21524
0,-3.63861,0,1.30026
0,-3.15347,0,1.39038
0,-2.66832,0,1.48583
0,-2.18317,0,1.58686
0,-1.69802,0,1.69372
0,-1.21287,0,1.80667
0,-0.727723,0,1.92599
0,-0.242574,0,2.05194
0,0.242574,0,2.18491
0,0.727723,0,2.3252
0,1.21287,0,2.47301
0,1.69802,0,2.62862
0,2.18317,0,2.79233
0,2.66832,0,2.96446
0,3.15347,0,3.14532
0,3.63861,0,3.33523
0,4.12376,0,3.5345
0,4.60891,0,3.74345
0,5.09406,0,3.96243
0,5.57921,0,4.19176
0,6.06436,0,4.43177
0,6.5495,0,4.68279
0,7.03465,0,4.94517
0,7.5198,0,5.21924
0,8.00495,0,5.50534
0,8.4901,0,5.8038
0,8.97525,0,6.11497
0,9.4604,0,6.43918
0,9.94554,0,6.77677
0,10.4307,0,7.12806
0,10.9158,0,7.49338
0,11.401,0,7.87307
0,11.8861,0,8.26744
0,12.3713,0,8.6768
0,12.8564,0,9.10148
0,13.3416,0,9.54177
0,13.8267,0,9.99798
0,14.3119,0,10.4704
0,14.797,0,10.9593
0,15.2822,0,11.465
0,15.7673,0,11.9877
0,16.2525,0,12.5277
0,16.7376,0,13.0857
0,17.2228,0,13.6616
0,17.7079,0,14.2555
0,18.1931,0,14.8677
0,18.6782,0,15.4982
0,19.1634,0,16.1474
0,19.6485,0,16.8158
0,20.1337,0,17.5026
0,20.6188,0,18.2073
0,21.104,0,18.9335
0,21.5891,0,19.6869
0,22.0743,0,20.4382
0,22.5594,0,21.1994
0,23.0446,0,22.0466
0,23.5297,0,23.155
0,24.0149,0,23.7265
0,24.5,0,24.8983
