Points_0,Points_1,Points_2,Temperature
0,-24.5,0,0.0313323
0,-24.0149,0,0.0315655
0,-23.5297,0,0.0322463
0,-23.0446,0,0.0335894
0,-22.5594,0,0.0353096
0,-22.0743,0,0.0373641
0,-21.5891,0,0.0398385
0,-21.104,0,0.0427563
0,-20.6188,0,0.0461282
0,-20.1337,0,0.0499811
0,-19.6485,0,0.0543479
0,-19.1634,0,0.0592624
0,-18.6782,0,0.0647617
0,-18.1931,0,0.0708876
0,-17.7079,0,0.0776861
0,-17.2228,0,0.085207
0,-16.7376,0,0.0935048
0,-16.2525,0,0.102643
0,-15.7673,0,0.112708
0,-15.2822,0,0.123746
0,-14.797,0,0.135833
0,-14.3119,0,0.149049
0,-13.8267,0,0.16348
0,-13.3416,0,0.179218
0,-12.8564,0,0.196361
0,-12.3713,0,0.215014
0,-11.8861,0,0.235289
0,-11.401,0,0.257305
0,-10.9158,0,0.281187
0,-10.4307,0,0.307071
0,-9.94554,0,0.335096
0,-9.4604,0,0.365412
0,-8.97525,0,0.398179
0,-8.4901,0,0.433562
0,-8.00495,0,0.471738
0,-7.5198,0,0.512891
0,-7.03465,0,0.557216
0,-6.5495,0,0.604916
0,-6.06436,0,0.656206
0,-5.57921,0,0.711309
0,-5.09406,0,0.77046
0,-4.60891,0,0.833904
0,-4.12376,0,0.901896
0,-3.63861,0,0.974702
0,-3.15347,0,1.0526
0,-2.66832,0,1.13587
0,-2.18317,0,1.22483
0,-1.69802,0,1.31977
0,-1.21287,0,1.42102
0,-0.727723,0,1.52892
0,-0.242574,0,1.6438
0,0.242574,0,1.76613
0,0.727723,0,1.89632
0,1.21287,0,2.03461
0,1.69802,0,2.18139
0,2.18317,0,2.33706
0,2.66832,0,2.50203
0,3.15347,0,2.67671
0,3.63861,0,2.86152
0,4.12376,0,3.05692
0,4.60891,0,3.26332
0,5.09406,0,3.4812
0,5.57921,0,3.71099
0,6.06436,0,3.95318
0,6.5495,0,4.20822
0,7.03465,0,4.4766
0,7.5198,0,4.7588
0,8.00495,0,5.05529
0,8.4901,0,5.36657
0,8.97525,0,5.69312
0,9.4604,0,6.03544
0,9.94554,0,6.39402
0,10.4307,0,6.76935
0,10.9158,0,7.16192
0,11.401,0,7.57221
0,11.8861,0,8.00072
0,12.3713,0,8.44791
0,12.8564,0,8.91427
0,13.3416,0,9.40025
0,13.8267,0,9.90634
0,14.3119,0,10.433
0,14.797,0,10.9806
0,15.2822,0,11.5496
0,15.7673,0,12.1405
0,16.2525,0,12.7536
0,16.7376,0,13.3899
0,17.2228,0,14.0495
0,17.7079,0,14.7324
0,18.1931,0,15.4391
0,18.6782,0,16.1698
0,19.1634,0,16.9249
0,19.6485,0,17.705
0,20.1337,0,18.5096
0,20.6188,0,19.3385
0,21.104,0,20.1941
0,21.5891,0,21.0826
0,22.0743,0,21.9785
0,22.5594,0,22.8933
0,23.0446,0,23.8737
0,23.5297,0,25.0508
0,24.0149,0,25.6081
0,24.5,0,26.4106
