Points_0,Points_1,Points_2,Temperature
0,-24.75,0,0.0313034
0,-24.2599,0,0.0315199
0,-23.7698,0,0.0317519
0,-23.2797,0,0.0328769
0,-22.7896,0,0.0344961
0,-22.2995,0,0.0363867
0,-21.8094,0,0.0386876
0,-21.3193,0,0.0414423
0,-20.8292,0,0.0446519
0,-20.3391,0,0.048339
0,-19.849,0,0.0525381
0,-19.3589,0,0.0572831
0,-18.8688,0,0.0626106
0,-18.3787,0,0.0685624
0,-17.8886,0,0.0751843
0,-17.3985,0,0.0825266
0,-16.9084,0,0.0906439
0,-16.4183,0,0.0995959
0,-15.9282,0,0.109447
0,-15.4381,0,0.120267
0,-14.948,0,0.132131
0,-14.4579,0,0.14512
0,-13.9678,0,0.159321
0,-13.4777,0,0.174827
0,-12.9876,0,0.191737
0,-12.4975,0,0.210157
0,-12.0074,0,0.230202
0,-11.5173,0,0.25199
0,-11.0272,0,0.275651
0,-10.5371,0,0.30132
0,-10.047,0,0.329141
0,-9.55693,0,0.359268
0,-9.06683,0,0.391861
0,-8.57673,0,0.42709
0,-8.08663,0,0.465135
0,-7.59653,0,0.506186
0,-7.10644,0,0.55044
0,-6.61634,0,0.598108
0,-6.12624,0,0.649408
0,-5.63614,0,0.704571
0,-5.14604,0,0.763835
0,-4.65594,0,0.827454
0,-4.16584,0,0.89569
0,-3.67574,0,0.968816
0,-3.18564,0,1.04712
0,-2.69554,0,1.13089
0,-2.20545,0,1.22045
0,-1.71535,0,1.3161
0,-1.22525,0,1.41818
0,-0.735148,0,1.52704
0,-0.24505,0,1.64303
0,0.24505,0,1.76659
0,0.735148,0,1.89812
0,1.22525,0,2.03792
0,1.71535,0,2.1864
0,2.20545,0,2.34397
0,2.69554,0,2.51104
0,3.18564,0,2.68805
0,3.67574,0,2.87544
0,4.16584,0,3.07366
0,4.65594,0,3.28316
0,5.14604,0,3.50441
0,5.63614,0,3.73788
0,6.12624,0,3.98406
0,6.61634,0,4.24343
0,7.10644,0,4.51648
0,7.59653,0,4.80371
0,8.08663,0,5.10563
0,8.57673,0,5.42272
0,9.06683,0,5.75551
0,9.55693,0,6.10449
0,10.047,0,6.47018
0,10.5371,0,6.85308
0,11.0272,0,7.2537
0,11.5173,0,7.67253
0,12.0074,0,8.11009
0,12.4975,0,8.56686
0,12.9876,0,9.04333
0,13.4777,0,9.53998
0,13.9678,0,10.0573
0,14.4579,0,10.5957
0,14.948,0,11.1557
0,15.4381,0,11.7377
0,15.9282,0,12.3422
0,16.4183,0,12.9695
0,16.9084,0,13.62
0,17.3985,0,14.2942
0,17.8886,0,14.9925
0,18.3787,0,15.7151
0,18.8688,0,16.4623
0,19.3589,0,17.2346
0,19.849,0,18.0326
0,20.3391,0,18.8553
0,20.8292,0,19.7028
0,21.3193,0,20.5795
0,21.8094,0,21.4918
0,22.2995,0,22.3942
0,22.7896,0,23.3348
0,23.2797,0,24.3636
0,23.7698,0,25.6818
0,24.2599,0,25.6057
0,24.75,0,27.2749
