Displacement_0,Displacement_1,Displacement_2,PK1Stress_0,PK1Stress_1,PK1Stress_2,PK1Stress_3,PK1Stress_4,PK1Stress_5,PK1Stress_6,PK1Stress_7,PK1Stress_8
-0.0770179,0.0148541,0,-0.230494,-0.332471,0,-0.332471,-0.135706,0,0,0,-0.120846
-0.0770143,0.0128743,0,-0.0142388,-0.220676,0,-0.220676,0.0247797,0,0,0,0.00347848
-0.0770173,0.0108972,0,-0.105153,-0.126027,0,-0.126027,-0.258441,0,0,0,-0.119986
-0.0770308,0.00893605,0,0.044393,0.259726,0,0.259726,-0.904705,0,0,0,-0.283903
-0.0770416,0.00700776,0,1.57001,0.809503,0,0.809503,-1.11551,0,0,0,0.149983
-0.0770398,0.00511673,0,4.26661,1.4049,0,1.4049,-1.19616,0,0,0,1.01325
-0.0770186,0.00326514,0,7.97682,1.94597,0,1.94597,-1.20333,0,0,0,2.23525
-0.0769699,0.00145261,0,12.6643,2.45015,0,2.45015,-1.14415,0,0,0,3.80165
-0.0768871,-0.000323042,0,18.2617,2.90863,0,2.90863,-1.03202,0,0,0,5.68579
-0.076764,-0.00206529,0,24.6773,3.3216,0,3.3216,-0.880161,0,0,0,7.85305
-0.0765954,-0.00377865,0,31.8306,3.69071,0,3.69071,-0.696257,0,0,0,10.2743
-0.0763763,-0.00546845,0,39.6428,4.01851,0,4.01851,-0.487368,0,0,0,12.9213
-0.0761025,-0.00714057,0,48.0398,4.30772,0,4.30772,-0.258956,0,0,0,15.7677
-0.0757703,-0.00880141,0,56.9527,4.56131,0,4.56131,-0.0152309,0,0,0,18.7894
-0.0753765,-0.0104577,0,66.3185,4.78216,0,4.78216,0.240516,0,0,0,21.9645
-0.0749183,-0.0121163,0,76.079,4.97304,0,4.97304,0.505681,0,0,0,25.2729
-0.0743931,-0.0137846,0,86.1812,5.13654,0,5.13654,0.778235,0,0,0,28.6966
-0.0737989,-0.0154699,0,96.5768,5.27509,0,5.27509,1.0566,0,0,0,32.219
-0.0731339,-0.0171795,0,107.222,5.3909,0,5.3909,1.33957,0,0,0,35.8253
-0.0723966,-0.0189212,0,118.077,5.48599,0,5.48599,1.62621,0,0,0,39.502
-0.0715858,-0.0207024,0,129.105,5.56223,0,5.56223,1.91584,0,0,0,43.2368
-0.0707003,-0.0225308,0,140.274,5.62128,0,5.62128,2.20798,0,0,0,47.0189
-0.0697395,-0.0244143,0,151.553,5.66466,0,5.66466,2.50231,0,0,0,50.8382
-0.0687025,-0.0263604,0,162.916,5.69373,0,5.69373,2.79865,0,0,0,54.6858
-0.0675891,-0.028377,0,174.338,5.70971,0,5.70971,3.09694,0,0,0,58.5535
-0.0663988,-0.030472,0,185.796,5.71367,0,5.71367,3.39721,0,0,0,62.4339
