Displacement_0,Displacement_1,Displacement_2,PK1Stress_0,PK1Stress_1,PK1Stress_2,PK1Stress_3,PK1Stress_4,PK1Stress_5,PK1Stress_6,PK1Stress_7,PK1Stress_8
-0.0660575,0.015228,0,-0.209335,-0.299057,0,-0.299057,-0.126929,0,0,0,-0.110967
-0.0660543,0.0135064,0,-0.0310945,-0.20608,0,-0.20608,0.0196371,0,0,0,-0.00378093
-0.066057,0.011787,0,-0.128141,-0.124626,0,-0.124626,-0.221717,0,0,0,-0.115453
-0.0660692,0.0100814,0,-0.0405781,0.206228,0,0.206228,-0.794665,0,0,0,-0.27563
-0.0660794,0.00840459,0,1.2442,0.683595,0,0.683595,-0.987956,0,0,0,0.0845591
-0.066079,0.00676068,0,3.55676,1.20593,0,1.20593,-1.06493,0,0,0,0.822305
-0.066062,0.0051518,0,6.76066,1.68268,0,1.68268,-1.07783,0,0,0,1.87533
-0.0660213,0.0035778,0,10.8268,2.12852,0,2.12852,-1.03256,0,0,0,3.23211
-0.065951,0.00203698,0,15.6993,2.53542,0,2.53542,-0.940342,0,0,0,4.87047
-0.0658457,0.000526443,0,21.2993,2.90327,0,2.90327,-0.812817,0,0,0,6.76053
-0.0657006,-0.000957608,0,27.5574,3.23328,0,3.23328,-0.656748,0,0,0,8.87722
-0.0655114,-0.00241969,0,34.4056,3.52755,0,3.52755,-0.478332,0,0,0,11.196
-0.0652742,-0.00386485,0,41.7798,3.78836,0,3.78836,-0.282381,0,0,0,13.6942
-0.0649859,-0.00529855,0,49.6203,4.01822,0,4.01822,-0.0726204,0,0,0,16.3507
-0.0646433,-0.00672658,0,57.872,4.2196,0,4.2196,0.148033,0,0,0,19.1466
-0.0642439,-0.00815498,0,66.4845,4.39488,0,4.39488,0.377264,0,0,0,22.0644
-0.0637855,-0.00958996,0,75.4116,4.5463,0,4.5463,0.613265,0,0,0,25.0882
-0.0632662,-0.0110379,0,84.6111,4.67596,0,4.67596,0.854622,0,0,0,28.2037
-0.0626842,-0.0125052,0,94.0449,4.78578,0,4.78578,1.10024,0,0,0,31.3979
-0.0620382,-0.0139985,0,103.678,4.87754,0,4.87754,1.34929,0,0,0,34.659
